venue,ticker,pr_open,pr_high,pr_low,pr_close,volume,turnover,valid_time
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,7000,54529,2022-11-14 13:25:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,1000,7789,2022-11-14 13:26:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,1000,7789,2022-11-14 13:27:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,1000,7789,2022-11-14 13:28:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.79,7.7899,7.79,188000,1464501,2022-11-14 13:30:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,10000,77900,2022-11-14 13:32:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,75000,584250,2022-11-14 13:33:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,4000,31160,2022-11-14 13:34:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,1000,7790,2022-11-14 13:38:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,10000,77900,2022-11-14 13:39:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,10000,77900,2022-11-14 13:42:00+00:00
MOEX,HKDRUB_TOM,7.7879,7.7879,7.7879,7.7879,16000,124606,2022-11-14 13:44:00+00:00
MOEX,HKDRUB_TOM,7.7879,7.7879,7.782,7.782,549000,4274916,2022-11-14 13:46:00+00:00
MOEX,HKDRUB_TOM,7.7819,7.7899,7.7819,7.7899,4000,31143,2022-11-14 13:48:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,25000,194747,2022-11-14 13:50:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,10000,77899,2022-11-14 13:53:00+00:00
MOEX,HKDRUB_TOM,7.785,7.785,7.781,7.781,20000,155637,2022-11-14 13:54:00+00:00
MOEX,HKDRUB_TOM,7.7897,7.7897,7.7897,7.7897,29000,225901,2022-11-14 13:59:00+00:00
MOEX,HKDRUB_TOM,7.7897,7.79,7.7897,7.79,16000,124638,2022-11-14 14:00:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,11000,85690,2022-11-14 14:01:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,16000,124640,2022-11-14 14:02:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,3000,23370,2022-11-14 14:03:00+00:00
MOEX,HKDRUB_TOM,7.7897,7.79,7.789,7.79,5000,38948,2022-11-14 14:04:00+00:00
MOEX,HKDRUB_TOM,7.789,7.789,7.7812,7.7812,10000,77846,2022-11-14 14:05:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,10000,77899,2022-11-14 14:06:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,1000,7789,2022-11-14 14:08:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,13000,101268,2022-11-14 14:10:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7812,7.7812,3000,23352,2022-11-14 14:11:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,13000,101268,2022-11-14 14:12:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,11000,85688,2022-11-14 14:13:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,24000,186957,2022-11-14 14:14:00+00:00
MOEX,HKDRUB_TOM,7.789,7.7899,7.7814,7.7814,21000,163506,2022-11-14 14:15:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,11000,85688,2022-11-14 14:16:00+00:00
MOEX,HKDRUB_TOM,7.7899,7.7899,7.7899,7.7899,2000,15579,2022-11-14 14:17:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,19000,148010,2022-11-14 14:18:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,20000,155800,2022-11-14 14:19:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,18000,140220,2022-11-14 14:20:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,1000,7790,2022-11-14 14:21:00+00:00
MOEX,HKDRUB_TOM,7.789,7.789,7.7823,7.7823,36000,280183,2022-11-14 14:22:00+00:00
MOEX,HKDRUB_TOM,7.7823,7.7899,7.7823,7.7899,145000,1128851,2022-11-14 14:23:00+00:00
MOEX,HKDRUB_TOM,7.7823,7.79,7.7823,7.79,39000,303802,2022-11-14 14:24:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,10000,77900,2022-11-14 14:25:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,2000,15580,2022-11-14 14:26:00+00:00
MOEX,HKDRUB_TOM,7.7821,7.79,7.7821,7.79,36000,280361,2022-11-14 14:28:00+00:00
MOEX,HKDRUB_TOM,7.79,7.79,7.79,7.79,12000,93480,2022-11-14 14:29:00+00:00
MOEX,TRYRUB_TOM,3.27,3.28,3.27,3.28,5000,16385,2022-11-14 04:00:00+00:00
MOEX,TRYRUB_TOM,3.2628,3.2628,3.2628,3.2628,1000,3262,2022-11-14 04:24:00+00:00
MOEX,TRYRUB_TOM,3.2555,3.2555,3.25,3.25,5000,16271,2022-11-14 04:27:00+00:00
MOEX,TRYRUB_TOM,3.2481,3.2481,3.2481,3.2481,5000,16240,2022-11-14 04:29:00+00:00
MOEX,TRYRUB_TOM,3.2749,3.2749,3.2749,3.2749,1000,3274,2022-11-14 04:53:00+00:00
MOEX,TRYRUB_TOM,3.2501,3.2501,3.2501,3.2501,32000,104003,2022-11-14 05:04:00+00:00
MOEX,TRYRUB_TOM,3.2502,3.2502,3.2501,3.2501,62000,201512,2022-11-14 05:19:00+00:00
MOEX,TRYRUB_TOM,3.2485,3.2485,3.2481,3.2481,10000,32481,2022-11-14 05:20:00+00:00
MOEX,TRYRUB_TOM,3.2501,3.2699,3.2501,3.2699,188000,612998,2022-11-14 05:21:00+00:00
MOEX,TRYRUB_TOM,3.26,3.26,3.2502,3.2502,3000,9760,2022-11-14 05:25:00+00:00
MOEX,TRYRUB_TOM,3.2513,3.2513,3.2513,3.2513,1000,3251,2022-11-14 05:49:00+00:00
MOEX,TRYRUB_TOM,3.2689,3.2689,3.2689,3.2689,25000,81722,2022-11-14 06:00:00+00:00
MOEX,TRYRUB_TOM,3.2669,3.2669,3.2669,3.2669,1000,3266,2022-11-14 06:04:00+00:00
MOEX,TRYRUB_TOM,3.265,3.265,3.265,3.265,40000,130600,2022-11-14 06:05:00+00:00
MOEX,TRYRUB_TOM,3.265,3.265,3.265,3.265,5000,16325,2022-11-14 06:20:00+00:00
MOEX,TRYRUB_TOM,3.2645,3.2649,3.2645,3.2649,10000,32645,2022-11-14 06:43:00+00:00
MOEX,TRYRUB_TOM,3.2642,3.2642,3.2642,3.2642,2000,6528,2022-11-14 06:51:00+00:00
MOEX,TRYRUB_TOM,3.2642,3.2642,3.2642,3.2642,7000,22849,2022-11-14 06:54:00+00:00
MOEX,TRYRUB_TOM,3.2642,3.2642,3.2642,3.2642,13000,42434,2022-11-14 07:01:00+00:00
MOEX,TRYRUB_TOM,3.2641,3.2641,3.2641,3.2641,6000,19584,2022-11-14 07:02:00+00:00
MOEX,TRYRUB_TOM,3.26,3.26,3.26,3.26,20000,65200,2022-11-14 07:07:00+00:00
MOEX,TRYRUB_TOM,3.26,3.26,3.26,3.26,1000,3260,2022-11-14 07:11:00+00:00
MOEX,TRYRUB_TOM,3.26,3.26,3.26,3.26,9000,29340,2022-11-14 07:13:00+00:00
MOEX,TRYRUB_TOM,3.26,3.26,3.26,3.26,10000,32600,2022-11-14 07:14:00+00:00
MOEX,TRYRUB_TOM,3.2622,3.2622,3.2622,3.2622,20000,65244,2022-11-14 07:15:00+00:00
MOEX,TRYRUB_TOM,3.26,3.26,3.26,3.26,1000,3260,2022-11-14 07:27:00+00:00
MOEX,TRYRUB_TOM,3.26,3.2622,3.26,3.2622,300000,978643,2022-11-14 07:32:00+00:00
MOEX,TRYRUB_TOM,3.2524,3.2524,3.25,3.25,588000,1911288,2022-11-14 07:34:00+00:00
MOEX,TRYRUB_TOM,3.25,3.25,3.25,3.25,978000,3178500,2022-11-14 07:36:00+00:00
MOEX,TRYRUB_TOM,3.25,3.25,3.25,3.25,1000,3250,2022-11-14 07:37:00+00:00
MOEX,TRYRUB_TOM,3.25,3.25,3.25,3.25,10000,32500,2022-11-14 07:39:00+00:00
MOEX,TRYRUB_TOM,3.25,3.25,3.25,3.25,4000,13000,2022-11-14 07:47:00+00:00
MOEX,TRYRUB_TOM,3.25,3.25,3.25,3.25,1000,3250,2022-11-14 07:50:00+00:00
MOEX,TRYRUB_TOM,3.25,3.25,3.25,3.25,4000,13000,2022-11-14 07:51:00+00:00
MOEX,TRYRUB_TOM,3.25,3.25,3.25,3.25,40000,130000,2022-11-14 07:52:00+00:00
MOEX,TRYRUB_TOM,3.25,3.25,3.25,3.25,40000,130000,2022-11-14 07:53:00+00:00
MOEX,TRYRUB_TOM,3.25,3.25,3.25,3.25,20000,65000,2022-11-14 07:54:00+00:00
MOEX,TRYRUB_TOM,3.25,3.25,3.25,3.25,110000,357500,2022-11-14 07:56:00+00:00
MOEX,TRYRUB_TOM,3.2485,3.2485,3.22,3.22,1478000,4781207,2022-11-14 07:59:00+00:00
MOEX,TRYRUB_TOM,3.2601,3.2601,3.2601,3.2601,110000,358611,2022-11-14 08:00:00+00:00
MOEX,TRYRUB_TOM,3.2584,3.259,3.2584,3.259,54000,175980,2022-11-14 08:02:00+00:00
MOEX,TRYRUB_TOM,3.2377,3.2377,3.2377,3.2377,1000,3237,2022-11-14 08:07:00+00:00
MOEX,TRYRUB_TOM,3.2499,3.2499,3.2499,3.2499,10000,32499,2022-11-14 08:10:00+00:00
MOEX,TRYRUB_TOM,3.2487,3.2487,3.2487,3.2487,1000,3248,2022-11-14 08:19:00+00:00
MOEX,TRYRUB_TOM,3.2481,3.2481,3.2481,3.2481,1000,3248,2022-11-14 08:21:00+00:00
MOEX,TRYRUB_TOM,3.24,3.24,3.2251,3.2251,50000,161338,2022-11-14 08:22:00+00:00
MOEX,TRYRUB_TOM,3.2477,3.2477,3.2477,3.2477,1000,3247,2022-11-14 08:24:00+00:00
MOEX,TRYRUB_TOM,3.2295,3.2295,3.2295,3.2295,3000,9688,2022-11-14 08:27:00+00:00
MOEX,TRYRUB_TOM,3.2321,3.2476,3.2321,3.2465,86000,278052,2022-11-14 08:32:00+00:00
MOEX,TRYRUB_TOM,3.24,3.24,3.2262,3.2262,100000,322700,2022-11-14 08:38:00+00:00
MOEX,TRYRUB_TOM,3.2436,3.2436,3.2436,3.2436,2000,6487,2022-11-14 08:43:00+00:00
MOEX,TRYRUB_TOM,3.2436,3.2596,3.2436,3.2596,693000,2252870,2022-11-14 08:51:00+00:00
